Category,Subcategory,Keywords
Built Environment,Urban Landscape,"城市风貌,都市景观,城市天际线,高楼大厦,街景,城市面貌,都市风光,现代建筑,老城区,新区建设,城市改造,特色建筑"
Built Environment,Architectural Landmarks,"地标建筑,标志性建筑,城市地标,著名建筑,网红打卡地,城市名片,地标性建筑,城市符号,城市新地标,城市icon"
Built Environment,Urban Design,"城市规划,街道设计,公共空间,步行街,广场设计,城市家具,人行道,城市照明,街头艺术,城市雕塑,绿道设计"
Built Environment,Residential Areas,"小区环境,房型设计,物业服务,社区配套,居住体验,房价,租房,安居工程,保障房,社区规划,宜居社区"
Natural Environment,Green Spaces,"公园,绿地,城市绿肺,口袋公园,社区花园,城市花园,绿化带,城市绿道,植树造林,城市绿化,屋顶花园"
Natural Environment,Water Bodies,"亲水空间,滨水景观,城市水系,河道整治,湖泊保护,水上活动,城市湿地,雨水花园,水景观设计,城市河流,水资源保护"
Natural Environment,Environmental Quality,"空气质量,噪音污染,水质,生态环境,垃圾分类,环境保护,低碳生活,城市热岛,PM2.5,雾霾,环境监测"
Natural Environment,Climate Resilience,"海绵城市,防洪设施,抗震设计,应对气候变化,城市降温,绿色基础设施,城市韧性,极端天气应对,生态廊道"
Cultural Heritage,Tangible Heritage,"文物保护,古迹,历史建筑,博物馆,文化遗产,古城墙,历史街区,文物修复,非遗展览,古建筑,历史遗迹"
Cultural Heritage,Intangible Heritage,"非遗,传统技艺,民间艺术,戏曲,传统节日,民俗文化,手工艺,地方戏,传统医药,传统美食,民间故事"
Cultural Heritage,Contemporary Culture,"文创产品,艺术展览,音乐节,街头表演,文化中心,创意园区,艺术区,文化活动,当代艺术,流行文化,亚文化"
Cultural Heritage,Culinary Heritage,"地方小吃,美食街,传统美食,特色餐厅,美食文化,老字号,夜市美食,地方特产,美食节,传统小吃,舌尖上的中国"
Social Dynamics,Community Life,"邻里关系,社区活动,居民自治,社区服务,邻里节,社区团购,社区营造,社区共享,邻里互助,社区文化,社区花园"
Social Dynamics,Social Cohesion,"社区融合,多元文化,包容性,社会融入,文化交流,社区共建,社会和谐,多样性,跨代交流,文化认同,社会信任"
Social Dynamics,Safety,"社区安全,治安状况,安全感,平安社区,警民关系,安全教育,应急响应,社区巡逻,安全防范,犯罪预防,安全设施"
Social Dynamics,Education,"教育资源,学区房,补习班,终身学习,在线教育,素质教育,学前教育,职业教育,教育公平,教育创新,家庭教育"
Economic Factors,Commercial Activity,"商圈,购物中心,夜间经济,特色商业街,电商,实体店,商业综合体,地摊经济,品牌入驻,商业氛围,消费体验"
Economic Factors,Employment,"就业机会,人才市场,灵活就业,创业环境,求职,工作机会,就业培训,人才引进,就业政策,职场发展,远程工作"
Economic Factors,Innovation,"创新创业,科技园区,孵化器,众创空间,高新技术,产学研合作,技术转化,创新生态,科技金融,创新人才,创新政策"
Economic Factors,Tourism,"景点,旅游攻略,民宿,文化旅游,乡村旅游,红色旅游,自驾游,周边游,旅游体验,特色景点,旅游季"
Urban Mobility,Public Transportation,"公交,地铁,共享单车,公共自行车,轨道交通,智能公交,一卡通,公交专用道,换乘枢纽,公交站台,交通App"
Urban Mobility,Active Mobility,"步行街,自行车道,健康出行,慢行系统,步行友好,骑行路线,无障碍设计,人行天桥,步行环境,骑行文化,步行指数"
Urban Mobility,Traffic Management,"智能交通,拥堵治理,交通优化,停车管理,交通信号,实时路况,交通管制,车辆限行,智能停车,交通App,共享停车"
Urban Mobility,Accessibility,"无障碍设施,适老化改造,无障碍出行,通达性,普遍设计,无障碍公交,盲道设计,无障碍设计,特殊人群出行,适老化社区,无障碍环境"
Governance & Planning,Urban Policies,"城市规划,土地利用,政策解读,规划公示,城市更新,旧城改造,规划展览,公众参与,政策宣讲,城市愿景,规划调整"
Governance & Planning,Civic Engagement,"公众参与,社区议事厅,民主协商,政务公开,市民建议,公众听证会,社区自治,志愿服务,市民热线,政民互动,公众监督"
Governance & Planning,Smart City Initiatives,"智慧城市,城市大脑,数字政务,智能安防,智慧社区,智能交通,智慧医疗,智慧教育,智慧停车,城市物联网,5G应用"
Governance & Planning,Sustainability Measures,"节能减排,垃圾分类,可再生能源,绿色建筑,低碳生活,循环经济,生态修复,可持续发展,绿色交通,能源效率,环保科技"
